Year,State,Money spent on C and J (Billion),Population,Revenue,Money spent by tax payers
2040,North Carolina,175267491.28655815,14407261.8430444,1704956732.0806198,1667.4733011836179
2020,North Dakota,8527443.552053332,-12210.798908919096,105890081.83058023,1448.6785176002668
2021,North Dakota,8663236.854068816,-62844.96222913265,107471582.81557798,1484.3498016271988
2022,North Dakota,8799030.1560843,-113479.12554933131,109053083.80057573,1520.021085654127
2023,North Dakota,8934823.458099723,-164113.28886952996,110634584.78557348,1555.6923696810409
2024,North Dakota,9070616.760115206,-214747.45218972862,112216085.77057123,1591.3636537079728
2025,North Dakota,9206410.06213063,-265381.6155099273,113797586.75556898,1627.034937734894
2026,North Dakota,9342203.364146113,-316015.7788301259,115379087.74056673,1662.7062217618222
2027,North Dakota,9477996.666161537,-366649.9421503246,116960588.72556448,1698.3775057887397
2028,North Dakota,9613789.96817702,-417284.10547052324,118542089.71056223,1734.0487898156643
2029,North Dakota,9749583.270192444,-467918.2687907219,120123590.69555998,1769.720073842589
2030,North Dakota,9885376.572207928,-518552.43211092055,121705091.68055773,1805.3913578695174
2031,North Dakota,10021169.874223411,-569186.5954311192,123286592.66555548,1841.062641896442
2032,North Dakota,10156963.176238835,-619820.7587513328,124868093.65055323,1876.7339259233668
2033,North Dakota,10292756.478254318,-670454.9220715314,126449594.63555098,1912.4052099502915
2034,North Dakota,10428549.780269742,-721089.0853917301,128031095.62054873,1948.0764939772125
2035,North Dakota,10564343.082285225,-771723.2487119287,129612596.60554647,1983.7477780041409
2036,North Dakota,10700136.38430065,-822357.4120321274,131194097.59054422,2019.419062031062
2037,North Dakota,10835929.686316133,-872991.575352326,132775598.57554197,2055.0903460579902
2038,North Dakota,10971722.988331556,-923625.7386725247,134357099.56053925,2090.7616300849113
2039,North Dakota,11107516.29034704,-974259.9019927233,135938600.545537,2126.4329141118324
2040,North Dakota,11243309.592362523,-1024894.065312922,137520101.53053474,2162.1041981387643
2020,Ohio,174753455.06895065,12378946.71321413,1471628928.6255493,1492.6126161048358
2021,Ohio,178911274.43552113,12448232.735225052,1499904924.9886322,1526.7205290354937
2022,Ohio,183069093.8020916,12517518.757235944,1528180921.3517227,1560.8284419661527
2023,Ohio,187226913.16866207,12586804.779246867,1556456917.7148056,1594.9363548968106
2024,Ohio,191384732.53523254,12656090.80125776,1584732914.0778885,1629.044267827469
2025,Ohio,195542551.90180397,12725376.823268682,1613008910.440979,1663.152180758135
2026,Ohio,199700371.26837444,12794662.845279604,1641284906.804062,1697.260093688793
2027,Ohio,203858190.63494492,12863948.867290497,1669560903.1671448,1731.3680066194515
2028,Ohio,208016010.0015154,12933234.88930142,1697836899.5302353,1765.4759195501094
2029,Ohio,212173829.3680868,13002520.911312312,1726112895.8933182,1799.583832480776
2030,Ohio,216331648.7346573,13071806.933323234,1754388892.256401,1833.691745411434
2031,Ohio,220489468.10122776,13141092.955334157,1782664888.6194916,1867.799658342092
2032,Ohio,224647287.46779823,13210378.97734505,1810940884.9825745,1901.9075712727504
2033,Ohio,228805106.83436966,13279664.999355972,1839216881.3456573,1936.0154842034171
2034,Ohio,232962926.20094013,13348951.021366894,1867492877.7087479,1970.123397134075
2035,Ohio,237120745.5675106,13418237.043377787,1895768874.0718307,2004.2313100647336
2036,Ohio,241278564.93408108,13487523.06538871,1924044870.4349136,2038.3392229953913
2037,Ohio,245436384.30065155,13556809.087399602,1952320866.7980042,2072.4471359260497
2038,Ohio,249594203.66722298,13626095.109410524,1980596863.161087,2106.555048856716
2039,Ohio,253752023.03379345,13695381.131421447,2008872859.52417,2140.662961787374
2040,Ohio,257909842.40036392,13764667.15343234,2037148855.8872528,2174.7708747180322
2020,Oklahoma,46721408.54674959,4018241.5611456335,426094449.9166527,1215.215721701581
2021,Oklahoma,47877754.20518255,4046619.752159424,435192415.51750183,1242.945150835416
2022,Oklahoma,49034099.86361599,4074997.9431732073,444290381.118351,1270.6745799692635
2023,Oklahoma,50190445.52204895,4103376.134186998,453388346.71920013,1298.4040091030984
2024,Oklahoma,51346791.18048191,4131754.3252007887,462486312.3200455,1326.1334382369332
2025,Oklahoma,52503136.83891487,4160132.5162145793,471584277.9208946,1353.86286737077
2026,Oklahoma,53659482.49734831,4188510.70722837,480682243.5217438,1381.5922965046175
2027,Oklahoma,54815828.15578127,4216888.898242161,489780209.1225929,1409.3217256384505
2028,Oklahoma,55972173.81421423,4245267.089255951,498878174.7234421,1437.0511547722872
2029,Oklahoma,57128519.47264767,4273645.280269742,507976140.3242912,1464.780583906133
2030,Oklahoma,58284865.13108063,4302023.471283533,517074105.9251404,1492.5100130399696
2031,Oklahoma,59441210.78951359,4330401.662297323,526172071.5259857,1520.2394421738045
2032,Oklahoma,60597556.44794655,4358779.853311114,535270037.12683487,1547.9688713076412
2033,Oklahoma,61753902.106379986,4387158.044324897,544368002.727684,1575.698300441487
2034,Oklahoma,62910247.76481295,4415536.235338688,553465968.3285332,1603.42772957532
2035,Oklahoma,64066593.42324591,4443914.426352479,562563933.9293823,1631.1571587091566
2036,Oklahoma,65222939.081679344,4472292.617366269,571661899.5302315,1658.8865878430024
2037,Oklahoma,66379284.740112305,4500670.80838006,580759865.1310806,1686.6160169768373
2038,Oklahoma,67535630.39854527,4529048.999393851,589857830.731926,1714.345446110674
2039,Oklahoma,68691976.05697823,4557427.190407641,598955796.3327751,1742.0748752445088
2040,Oklahoma,69848321.71541166,4585805.381421432,608053761.9336243,1769.8043043783564
2020,Oregon,69025102.28822565,3631230.444650705,480084702.22761154,1775.0062072088367
2021,Oregon,70758228.5194726,3629449.7141233524,489452712.5322037,1816.8926424353958
2022,Oregon,72491354.75072002,3627668.983596,498820722.8367958,1858.7790776619695
2023,Oregon,74224480.98196697,3625888.253068647,508188733.1413841,1900.665512888525
2024,Oregon,75957607.21321392,3624107.5225412943,517556743.44597626,1942.5519481150877
2025,Oregon,77690733.44446135,3622326.792013942,526924753.7505684,1984.4383833416614
2026,Oregon,79423859.6757083,3620546.0614865893,536292764.0551605,2026.3248185682205
2027,Oregon,81156985.90695572,3618765.3309592367,545660774.3597527,2068.211253794794
2028,Oregon,82890112.13820267,3616984.6004318837,555028784.6643448,2110.0976890213497
2029,Oregon,84623238.36945009,3615203.869904531,564396794.9689369,2151.984124247916
2030,Oregon,86356364.60069704,3613423.1393771786,573764805.2735252,2193.870559474479
2031,Oregon,88089490.83194447,3611642.408849826,583132815.5781174,2235.756994701049
2032,Oregon,89822617.06319141,3609861.678322473,592500825.8827095,2277.6434299276116
2033,Oregon,91555743.29443836,3608080.9477951205,601868836.1873016,2319.5298651541707
2034,Oregon,93288869.52568579,3606300.217267768,611236846.4918938,2361.4163003807407
2035,Oregon,95021995.75693274,3604519.4867404155,620604856.7964859,2403.3027356073035
2036,Oregon,96755121.98818016,3602738.756213063,629972867.101078,2445.189170833877
2037,Oregon,98488248.21942711,3600958.02568571,639340877.4056702,2487.075606060429
2038,Oregon,100221374.45067453,3599177.2951583574,648708887.7102585,2528.9620412870026
2039,Oregon,101954500.68192148,3597396.564631005,658076898.0148506,2570.8484765135618
2040,Oregon,103687626.91316843,3595615.8341036523,667444908.3194427,2612.734911740121
2020,Pennsylvania,179830296.25700855,13765597.545158356,1855393957.4177856,1391.6418301066951
2021,Pennsylvania,183884387.78602886,13858772.660516739,1894025018.9422607,1420.9624738218517
2022,Pennsylvania,187938479.31504822,13951947.775875151,1932656080.4667358,1450.2831175369984
2023,Pennsylvania,191992570.84406757,14045122.891233534,1971287141.991211,1479.6037612521486
2024,Pennsylvania,196046662.37308693,14138298.006591916,2009918203.515686,1508.9244049672961
2025,Pennsylvania,200100753.90210629,14231473.121950299,2048549265.0401611,1538.2450486824446
2026,Pennsylvania,204154845.4311266,14324648.237308681,2087180326.564621,1567.5656923976012
2027,Pennsylvania,208208936.96014595,14417823.352667063,2125811388.089096,1596.8863361127505
2028,Pennsylvania,212263028.4891653,14510998.468025476,2164442449.613571,1626.206979827898
2029,Pennsylvania,216317120.01818466,14604173.583383858,2203073511.1380463,1655.5276235430465
2030,Pennsylvania,220371211.54720402,14697348.69874224,2241704572.6625214,1684.848267258195
2031,Pennsylvania,224425303.07622433,14790523.814100623,2280335634.1869965,1714.1689109733506
2032,Pennsylvania,228479394.60524368,14883698.929459006,2318966695.7114716,1743.489554688501
2033,Pennsylvania,232533486.13426304,14976874.044817388,2357597757.2359467,1772.8101984036484
2034,Pennsylvania,236587577.6632824,15070049.1601758,2396228818.7604218,1802.130842118796
2035,Pennsylvania,240641669.19230175,15163224.275534183,2434859880.2848816,1831.4514858339453
2036,Pennsylvania,244695760.72132206,15256399.390892565,2473490941.8093567,1860.772129549101
2037,Pennsylvania,248749852.25034142,15349574.506250948,2512122003.333832,1890.0927732642504
2038,Pennsylvania,252803943.77936077,15442749.62160933,2550753064.858307,1919.4134169793988
2039,Pennsylvania,256858035.30838013,15535924.736967713,2589384126.382782,1948.7340606945472
2040,Pennsylvania,260912126.83739948,15629099.852326125,2628015187.907257,1978.0547044096938
2020,Rhode Island,16541199.424155116,919112.7266252451,156656345.65843296,1585.7155070263375
2021,Rhode Island,16897598.120927334,910150.8974086978,159604917.41172886,1620.2453223162129
2022,Rhode Island,17253996.81769967,901189.0681921504,162553489.1650257,1654.7751376060987
2023,Rhode Island,17610395.51447189,892227.2389755994,165502060.9183216,1689.3049528959755
2024,Rhode Island,17966794.211244106,883265.4097590521,168450632.6716175,1723.8347681858504
2025,Rhode Island,18323192.908016324,874303.5805425048,171399204.4249134,1758.3645834757267
2026,Rhode Island,18679591.60478854,865341.7513259575,174347776.1782093,1792.8943987656016
2027,Rhode Island,19035990.30156076,856379.9221094102,177296347.9315052,1827.424214055477
2028,Rhode Island,19392388.998333097,847418.0928928591,180244919.6848011,1861.9540293453638
2029,Rhode Island,19748787.695105314,838456.2636763118,183193491.438097,1896.4838446352383
2030,Rhode Island,20105186.391877532,829494.4344597645,186142063.1913929,1931.013659925115
2031,Rhode Island,20461585.08864975,820532.6052432172,189090634.9446888,1965.54347521499
2032,Rhode Island,20817983.785421968,811570.7760266699,192039206.6979847,2000.0732905048658
2033,Rhode Island,21174382.482194185,802608.9468101226,194987778.4512806,2034.6031057947398
2034,Rhode Island,21530781.178966522,793647.1175935715,197936350.2045765,2069.1329210846275
2035,Rhode Island,21887179.87573874,784685.2883770242,200884921.9578724,2103.6627363745024
2036,Rhode Island,22243578.572510958,775723.4591604769,203833493.7111683,2138.1925516643773
2037,Rhode Island,22599977.269283175,766761.6299439296,206782065.4644642,2172.722366954253
2038,Rhode Island,22956375.966055393,757799.8007273823,209730637.2177601,2207.252182244129
2039,Rhode Island,23312774.66282761,748837.971510835,212679208.97105598,2241.781997534004
2040,Rhode Island,23669173.359599948,739876.142294284,215627780.72435284,2276.3118128238907
2020,South Carolina,47897821.63964224,5320725.338763446,497445809.9712105,989.1891296255253
2021,South Carolina,49069207.455675125,5388786.973859668,508557379.9060478,1009.5901334451428
2022,South Carolina,50240593.271707535,5456848.60895589,519668949.84088516,1029.9911372647457
2023,South Carolina,51411979.08774042,5524910.244052112,530780519.7757263,1050.392141084365
2024,South Carolina,52583364.90377331,5592971.879148334,541892089.7105637,1070.7931449039806
2025,South Carolina,53754750.71980572,5661033.514244556,553003659.645401,1091.1941487235854
